"id","favs","retweets","user"
"872790385453670400","0","1","Vadim Zaytsev"
"872789754609381376","0","0","Alexander Serebrenik"
"872789691883552769","0","1","Nevena Milojkovic"
"872789474622799873","0","1","Nevena Milojkovic"
"872789433988386816","1","0","Dorealda Dalipaj"
"872789123572092928","3","1","Yuriy Tymchuk"
"872952060949475329","0","0","Vadim Zaytsev"
"872952060819406848","0","0","Vadim Zaytsev"
"872951730639646720","0","1","Alexander Serebrenik"
"872951520270188544","0","1","Alexander Serebrenik"
"872951220075364353","0","1","Tushar Sharma"
"872949997171601410","4","1","Davide Spadini"
"872949406491967488","2","1","Felienne"
"872949397067354112","0","5","Davide Spadini"
"872945622407577600","0","1","Ali Parsai"
"872945458762706945","2","1","Alexander Serebrenik"
"872945170710396931","0","5","Ali Parsai"
"872943773562621952","6","0","Kim Mens"
"872925944356458496","0","5","Daniel Izquierdo"
"872909312510898176","0","2","Alexander Serebrenik"
"872904677125476352","4","1","Alexander Serebrenik"
"872904446732365824","0","1","Alaaeddin Swidan"
"872903843847307264","3","1","Alexander Serebrenik"
"872903836180131840","1","1","Alaaeddin Swidan"
"872903397908918272","3","1","Felienne"
"872897204251394057","3","0","Julian"
"873098404464779267","0","8","Kim Mens"
"873098384508203008","0","0","Haidar Osman"
"873098375268151296","0","0","Vadim Zaytsev"
"873098323741233152","0","0","Nevena Milojkovic"
"873098247543246849","0","0","Vadim Zaytsev"
"873097818927280128","0","0","Vadim Zaytsev"
"873097700819951617","0","1","Kim Mens"
"873097529994297346","0","0","Kim Mens"
"873097207448166405","0","0","Kim Mens"
"873096793864650752","1","1","Vadim Zaytsev"
"873096149195829250","0","0","Vadim Zaytsev"
"873095340102111233","1","1","Tushar Sharma"
"873094555729485826","0","1","Vadim Zaytsev"
"873093980572991488","0","0","Vadim Zaytsev"
"873093441785221121","0","1","Eleni Constantinou"
"873093423783264256","0","0","Tushar Sharma"
"873093369521520641","1","1","Vadim Zaytsev"
"873092954704855042","1","0","Nevena Milojkovic"
"873092943199977472","4","0","Vadim Zaytsev"
"873092462654271489","0","0","Vadim Zaytsev"
"873092004732784642","1","1","Vadim Zaytsev"
"873091398047637504","1","0","Vadim Zaytsev"
"873091110469382144","3","0","Vadim Zaytsev"
"873091030702186497","0","0","Alexander Serebrenik"
"873090382719995906","0","0","Alexander Serebrenik"
"873090149491458051","3","0","Vadim Zaytsev"
"873090118441091072","0","0","Alexander Serebrenik"
"873089701015572481","0","1","Alexander Serebrenik"
"873089650553835520","0","1","Manuel Leuenberger"
"873089374384037888","0","0","Vadim Zaytsev"
"873088970468413442","3","1","Vadim Zaytsev"
"873088721783930881","1","0","Nevena Milojkovic"
"873088048715636736","0","0","Nevena Milojkovic"
"873086675404021760","3","0","Vadim Zaytsev"
"873086479047598080","0","0","Nevena Milojkovic"
"873086421497544704","0","2","Tushar Sharma"
"873086225468407810","1","0","Kim Mens"
"873086099123458050","2","1","Vadim Zaytsev"
"873085432640057345","1","0","Kim Mens"
"873085354034593792","0","0","Alaaeddin Swidan"
"873085048013987840","3","2","Vadim Zaytsev"
"873084895777529856","0","0","Kim Mens"
"873084333430513666","2","1","Vadim Zaytsev"
"873083923642724353","0","0","Alexander Serebrenik"
"873083513691455488","4","2","Vadim Zaytsev"
"873083377179435008","0","0","Alexander Serebrenik"
"873083053370875904","0","0","Alexander Serebrenik"
"873082746167361536","3","1","Vadim Zaytsev"
"873082637920870400","0","0","Tushar Sharma"
"873082512834150400","0","0","Marco di Biase"
"873082490449084416","3","0","Vadim Zaytsev"
"873082177482760193","1","0","Julian"
"873082025950928896","3","0","Vadim Zaytsev"
"873081768160645121","2","0","Vadim Zaytsev"
"873081579630764032","3","0","Vadim Zaytsev"
"873081359375384577","3","0","Vadim Zaytsev"
"873080924388286467","0","0","Vadim Zaytsev"
"873079646958505984","2","0","Vadim Zaytsev"
"873079007037739008","2","0","Vadim Zaytsev"
"873074986545696768","1","0","Felienne"
"873067790256582656","0","1","Alexander Serebrenik"
"873067725022650368","0","2","Alexander Serebrenik"
"873067671150968833","0","1","Alexander Serebrenik"
"873067637533626370","0","1","Alexander Serebrenik"
"873066415070224386","1","1","Tushar Sharma"
"873065967202353154","3","1","Tushar Sharma"
"873065482424795136","4","1","Tushar Sharma"
"873064843560894464","2","0","Tushar Sharma"
"873062403537117184","4","2","Vadim Zaytsev"
"873054058579243008","0","0","Alexander Serebrenik"
"873053762704691200","0","0","Alexander Serebrenik"
"873051718124163072","0","0","Alexander Serebrenik"
"872967747197706241","4","0","Felienne"
"872962389750292480","11","1","Vadim Zaytsev"
"872955164562477056","0","1","Nevena Milojkovic"
"872954313362034692","3","0","Nevena Milojkovic"
"872953458487414784","0","0","Nevena Milojkovic"
"872952476126892032","0","5","Kim Mens"
"872952272703156236","0","5","Alexander Serebrenik"
"872952194928082945","1","0","Alexander Serebrenik"
"873115614075695104","0","1","Brent"
"873115557981069313","0","1","Brent"
"873115401793568769","0","0","Brent"
"873115375654666240","0","1","Brent"
"873115348366524419","0","1","Brent"
"873115326463987713","0","1","Brent"
"873114785490980864","4","0","Alexander Serebrenik"
"873114771964387329","0","2","Brent"
"873114642364514306","0","1","Alexander Serebrenik"
"873114537540468737","4","0","Yuriy Tymchuk"
"873114523858640896","1","0","Vadim Zaytsev"
"873114428820004866","1","0","Alexander Serebrenik"
"873114370875641856","1","1","Vadim Zaytsev"
"873114148686540800","0","2","Tushar Sharma"
"873113931484504066","1","1","Vadim Zaytsev"
"873113798860619777","0","1","Eleni Constantinou"
"873113731449761792","0","1","Vadim Zaytsev"
"873113191361859584","0","1","Brent"
"873113171359186945","0","1","Brent"
"873113122445303811","0","1","Brent"
"873112509699338240","0","3","Brent"
"873116909381730305","0","3","Brent"
"873116884526223361","0","4","Brent"
"873116858077003780","0","1","Brent"
"873116813223014404","0","5","Brent"
"873116792985497600","0","1","Brent"
"873116253635829760","0","0","Brent"
"873116183993622531","0","1","Brent"
"873116143266840576","0","0","Brent"
"873116062727888896","0","3","Brent"
"873115993362411521","0","1","Brent"
"873115949204779008","0","0","Brent"
"873115924198445056","0","3","Brent"
"873115868229545984","0","1","Brent"
"873115863095705601","1","0","Alexander Serebrenik"
"873115813728755712","0","2","Brent"
"873115747752460288","0","5","Brent"
"873115699517857792","0","0","Brent"
"873117870883880962","3","1","Felienne"
"873117839208534016","2","0","Alexander Serebrenik"
"873117801208135681","0","3","Eleni Constantinou"
"873117709873041410","0","1","Brent"
"873117591140618241","3","3","Vadim Zaytsev"
"873117431509549056","0","1","Brent"
"873117413235019777","0","1","Brent"
"873117384831246336","0","1","Brent"
"873117361376600065","0","3","Brent"
"873117191364726784","0","4","Brent"
"873117168040198144","0","2","Brent"
"873117143621025800","0","1","Brent"
"873117071806128128","0","1","Brent"
"873117033205964800","0","1","Brent"
"873116965841149953","0","1","Brent"
"873147764598767616","0","0","Julian"
"873147743421837312","0","0","Alexandre Le Borgne"
"873146945648328705","0","1","Nevena Milojkovic"
"873146722691813377","0","0","Nevena Milojkovic"
"873146716568080385","1","0","Yuriy Tymchuk"
"873145855997595648","0","1","Alexandre Le Borgne"
"873129105910312960","0","1","Alexander Serebrenik"
"873128960439140353","0","2","Alexander Serebrenik"
"873128882068570112","0","2","Alexander Serebrenik"
"873128183272427520","0","1","Alexander Serebrenik"
"873127952958935041","0","1","Alexander Serebrenik"
"873125169945952258","0","3","Brent"
"873125121312956417","0","1","Brent"
"873124960981590018","0","1","Brent"
"873124870476791808","0","6","Brent"
"873124725374959616","0","2","Alexander Serebrenik"
"873124719016370177","0","3","Brent"
"873124180505509888","0","1","Alexander Serebrenik"
"873123290587422720","3","1","Alexander Serebrenik"
"873122778571874304","0","2","Brent"
"873122741259427840","0","1","Brent"
"873122689816305665","0","1","Brent"
"873122276538855426","1","0","Alexander Serebrenik"
"873122184431976448","0","2","Haidar Osman"
"873121746538319874","0","1","Brent"
"873121707271241734","0","5","Brent"
"873121626199543809","0","1","Brent"
"873121605584433154","1","0","Alexander Serebrenik"
"873121573892349954","0","1","Brent"
"873121544112754689","0","1","Brent"
"873121512517099520","0","1","Brent"
"873121489733640193","0","4","Brent"
"873121468137132032","2","2","Yuriy Tymchuk"
"873121465226350592","0","4","Brent"
"873121442451173376","0","1","Brent"
"873121420787593217","0","1","Brent"
"873121390353711104","0","1","Brent"
"873121324520030210","0","1","Brent"
"873121289694715905","0","1","Brent"
"873121180336574464","0","1","Brent"
"873121111097057280","0","1","Brent"
"873121080310808576","0","3","Brent"
"873121056428445698","1","0","Brent"
"873120728190558208","1","1","Alexander Serebrenik"
"873120498518970369","0","2","Alaaeddin Swidan"
"873120411600306176","0","1","Brent"
"873120392994357254","0","1","Brent"
"873120344210456577","0","2","Brent"
"873120074776813569","4","1","Vadim Zaytsev"
"873119917226082306","1","1","Alexander Serebrenik"
"873119914399121408","4","2","Ward Muylaert"
"873119575209951232","0","1","Brent"
"873119535275978753","0","3","Brent"
"873119491076509696","0","1","Brent"
"873119482717143040","2","1","Alexander Serebrenik"
"873119415553765377","0","4","Brent"
"873119377637351424","0","5","Brent"
"873119343176843264","0","1","Brent"
"873119330107482112","0","1","Brent"
"873119317432311809","0","1","Brent"
"873119300390760448","2","0","Alexander Serebrenik"
"873119286981566464","0","1","Brent"
"873119125073125377","1","0","Vadim Zaytsev"
"873119055980277760","3","2","Andrei Chis"
"873118922270097409","0","1","Brent"
"873118843639521284","0","1","Brent"
"873118796315189248","0","1","Brent"
"873118744070938624","2","0","Tushar Sharma"
"873118741352947716","0","3","Brent"
"873118735992672259","0","1","Alexander Serebrenik"
"873118710650753024","0","0","Brent"
"873118587312984064","0","1","Brent"
"873118566328881152","0","1","Brent"
"873118502625755136","0","9","Brent"
"873118438855589888","0","4","Brent"
"873118410783154176","0","1","Brent"
"873118219736817671","2","1","Alexander Serebrenik"
"873117984805367808","0","1","Brent"
"873117964215623681","0","3","Alexander Serebrenik"
"873117958247137280","0","1","Brent"
"873117919881814017","0","1","Brent"
"873117890639044608","0","3","Brent"
"873150266522075136","0","1","Brent"
"873150235320737792","0","0","Brent"
"873150217742364673","0","1","Brent"
"873150193839026176","0","1","Brent"
"873150159584210944","0","2","Brent"
"873150085990887425","0","1","Brent"
"873150045599793152","5","2","Vadim Zaytsev"
"873149844407320576","0","0","Brent"
"873149804699889664","0","1","Brent"
"873149779605377025","0","0","Brent"
"873149749939101696","0","2","Brent"
"873149721178779648","0","0","Brent"
"873149699208990720","0","1","Brent"
"873149638202859520","0","1","Brent"
"873149614391795712","0","1","Brent"
"873149587246239745","0","3","Brent"
"873149558582280193","0","0","Brent"
"873149494736678912","4","1","Tushar Sharma"
"873149489107939328","0","1","Alexandre Le Borgne"
"873149477539991553","0","1","Brent"
"873149438461661185","0","3","Vadim Zaytsev"
"873149385105969152","5","2","Vadim Zaytsev"
"873150375121080322","0","2","Kim Mens"
"873150355126849537","0","3","Brent"
"873150331571638272","0","2","Brent"
"873150323455557633","2","2","Alexander Serebrenik"
"873150292564598784","0","1","Brent"
"873151393636528128","0","2","Brent"
"873151372006498306","1","0","Vadim Zaytsev"
"873151243249733632","0","4","Brent"
"873151201923280896","0","1","Brent"
"873151153323872256","0","3","Brent"
"873151152367570944","1","0","Dorealda Dalipaj"
"873151047019233280","0","2","Brent"
"873151021454938112","0","1","Brent"
"873150780299247616","1","0","Julian"
"873150752428044289","0","2","Alexander Serebrenik"
"873150727937556480","0","3","Alexander Serebrenik"
"873150702524256260","1","0","Dorealda Dalipaj"
"873150657901072385","0","2","Alexander Serebrenik"
"873150480393940992","0","3","Brent"
"873150467370569729","3","0","Alexander Serebrenik"
"873150421501652992","0","1","Brent"
"873150402245668865","0","2","Brent"
"873152464081629184","0","4","Brent"
"873152428052553730","0","1","Brent"
"873152405881466880","0","2","Brent"
"873152405139017732","0","3","Alexander Serebrenik"
"873152375715966977","0","2","Brent"
"873152364311699456","0","4","Eleni Constantinou"
"873152334288891904","3","0","Vadim Zaytsev"
"873152052586844162","1","1","Dorealda Dalipaj"
"873151942356344832","0","2","Brent"
"873151920831168512","0","4","Brent"
"873151891898851329","0","1","Brent"
"873151855345496064","0","0","Yuriy Tymchuk"
"873151854712115202","0","1","Brent"
"873151792087015426","3","3","Dorealda Dalipaj"
"873151555964456961","0","3","Brent"
"873151473605070849","0","1","Brent"
"873151449177477120","0","1","Brent"
"873151438859448320","1","0","Dorealda Dalipaj"
"873165804879187969","0","1","Brent"
"873165783010078722","0","3","Brent"
"873165768854310913","0","1","Brent"
"873165746729340928","0","1","Brent"
"873165729230712832","0","2","Brent"
"873165676890005504","0","1","Brent"
"873165549378969600","0","1","Alexandre Le Borgne"
"873165410086117376","3","1","Vadim Zaytsev"
"873164996506767360","0","2","Alexander Serebrenik"
"873164936268132352","0","0","Alexander Serebrenik"
"873164582650564608","0","3","Alexander Serebrenik"
"873164540879437824","1","1","Marco di Biase"
"873164463368810496","2","2","Vadim Zaytsev"
"873164394468921345","2","1","Dorealda Dalipaj"
"873163907367661568","0","1","Alessandra Gorla"
"873163863738519552","3","1","Yuriy Tymchuk"
"873163667625390080","3","3","Vadim Zaytsev"
"873163662906863616","1","1","Dorealda Dalipaj"
"873163563535302657","0","0","Alexander Serebrenik"
"873163525555965952","0","0","Kim Mens"
"873163407075266562","0","1","Brent"
"873163303446609920","0","2","Brent"
"873163280818343936","0","1","Brent"
"873163192129789952","0","1","Brent"
"873163152283885568","1","0","Alexander Serebrenik"
"873163140434886656","0","2","Brent"
"873163107971080192","0","1","Brent"
"873163034855972864","2","1","Vadim Zaytsev"
"873162910566100992","0","1","Davide Spadini"
"873162875522699264","2","1","Dorealda Dalipaj"
"873162847890657281","0","4","Davide Spadini"
"873162808682323968","0","3","Davide Spadini"
"873162739983818752","1","0","Alexander Serebrenik"
"873162584245055488","1","1","Vadim Zaytsev"
"873162275103940608","1","0","Haidar Osman"
"873161867006488576","0","2","Alexander Serebrenik"
"873161679667855361","0","0","Alexander Serebrenik"
"873161084152295424","0","0","Alexander Serebrenik"
"873161068792729600","6","1","Vadim Zaytsev"
"873160752722571264","1","0","Alexander Serebrenik"
"873160469737091072","3","1","Alexander Serebrenik"
"873159472440651776","12","7","Felienne"
"873159419231645696","1","1","Vadim Zaytsev"
"873159264570888192","2","0","Alexander Serebrenik"
"873158359666630656","5","3","Felienne"
"873158309104295936","2","1","Dorealda Dalipaj"
"873157836372668416","0","0","Julian"
"873157767107928065","2","2","Dorealda Dalipaj"
"873156993682464768","0","1","Brent"
"873156975022002176","0","2","Brent"
"873156930759471104","0","1","Brent"
"873156884940935168","6","1","Vadim Zaytsev"
"873156789247905792","0","2","Eleni Constantinou"
"873156684562169858","6","2","Vadim Zaytsev"
"873155961149673473","2","2","Dorealda Dalipaj"
"873155886264483840","2","0","Julian"
"873155596136198145","5","0","Vadim Zaytsev"
"873155039040352256","5","0","Vadim Zaytsev"
"873154787646287872","0","1","Brent"
"873154766544805888","0","2","Brent"
"873154711570010112","0","2","Vadim Zaytsev"
"873154628870950912","0","0","Alexander Serebrenik"
"873154613498826754","0","3","Nick Lodewijks"
"873154545655873536","2","1","Vadim Zaytsev"
"873154465473466369","1","2","Marco di Biase"
"873154432850157568","2","1","Dorealda Dalipaj"
"873154405692039168","1","1","Alexander Serebrenik"
"873154309084639234","2","0","Vadim Zaytsev"
"873153929726611456","5","1","Vadim Zaytsev"
"873152950000025600","0","1","Brent"
"873152909441196032","0","1","Brent"
"873152882010460160","0","3","Brent"
"873152752175767552","6","1","Vadim Zaytsev"
"873152667773698050","1","0","Dorealda Dalipaj"
"873152615026176004","1","0","Alexander Serebrenik"
"873152567903219713","0","1","Brent"
